PartNumber	PartName	Nominal_size(ref)	Nominal_size(in)	t.p.i.	Pitch(in)	Threading(in)	Min_Thread(in)	Max_Unthread(in)	Length(ref)	L_length(in)	E_body_dia_max(in)	E_body_dia_min(in)	A_head_dia_max(in)	A_head_dia_min(in)	H_head_dia_max(in)	H_head_dia_min(in)	O_total_head_height_max(in)	O_total_head_height_min(in)	J_slot_width_max(in)	J_slot_width_min(in)	T_slot_depth_max(in)	T_slot_depth_min(in)	U_fillet_radius_max(in)	U_fillet_radius_min(in)	Material	Reference	Edition
ASME_B18.6.2_SCREW_3/8_x_2.25_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP	ASME_B18_6_2_3/8_x_2.25_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	1.0	1.0	0.156	2  1/4 	2.25	0.375	0.369	0.562	0.547	0.25	0.229	0.314	0.284	0.094	0.081	0.142	0.112	0.031	0.016	St	ASME B18.6.2	1998
ASME_B18.6.2_SCREW_3/8_x_2.75_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP	ASME_B18_6_2_3/8_x_2.75_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	1.0	1.0	0.156	2  3/4 	2.75	0.375	0.369	0.562	0.547	0.25	0.229	0.314	0.284	0.094	0.081	0.142	0.112	0.031	0.016	St	ASME B18.6.2	1998
ASME_B18.6.2_SCREW_3/8_x_3_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP	ASME_B18_6_2_3/8_x_3_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	1.0	1.0	0.156	3      	3.0	0.375	0.369	0.562	0.547	0.25	0.229	0.314	0.284	0.094	0.081	0.142	0.112	0.031	0.016	St	ASME B18.6.2	1998
ASME_B18.6.2_SCREW_3/8_x_3.25_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP	ASME_B18_6_2_3/8_x_3.25_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	1.0	1.0	0.156	3  1/4 	3.25	0.375	0.369	0.562	0.547	0.25	0.229	0.314	0.284	0.094	0.081	0.142	0.112	0.031	0.016	St	ASME B18.6.2	1998
ASME_B18.6.2_SCREW_3/8_x_3.5_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP	ASME_B18_6_2_3/8_x_3.5_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	1.0	1.0	0.156	3  1/2 	3.5	0.375	0.369	0.562	0.547	0.25	0.229	0.314	0.284	0.094	0.081	0.142	0.112	0.031	0.016	St	ASME B18.6.2	1998
ASME_B18.6.2_SCREW_3/8_x_3.75_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP	ASME_B18_6_2_3/8_x_3.75_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	1.0	1.0	0.156	3  3/4 	3.75	0.375	0.369	0.562	0.547	0.25	0.229	0.314	0.284	0.094	0.081	0.142	0.112	0.031	0.016	St	ASME B18.6.2	1998
ASME_B18.6.2_SCREW_3/8_x_4_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP	ASME_B18_6_2_3/8_x_4_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	1.0	1.0	0.156	4      	4.0	0.375	0.369	0.562	0.547	0.25	0.229	0.314	0.284	0.094	0.081	0.142	0.112	0.031	0.016	St	ASME B18.6.2	1998
ASME_B18.6.2_SCREW_3/8_x_4.25_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP	ASME_B18_6_2_3/8_x_4.25_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	1.0	1.0	0.156	4  1/4 	4.25	0.375	0.369	0.562	0.547	0.25	0.229	0.314	0.284	0.094	0.081	0.142	0.112	0.031	0.016	St	ASME B18.6.2	1998
ASME_B18.6.2_SCREW_3/8_x_4.5_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP	ASME_B18_6_2_3/8_x_4.5_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	1.0	1.0	0.156	4  1/2 	4.5	0.375	0.369	0.562	0.547	0.25	0.229	0.314	0.284	0.094	0.081	0.142	0.112	0.031	0.016	St	ASME B18.6.2	1998
ASME_B18.6.2_SCREW_3/8_x_4.75_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP	ASME_B18_6_2_3/8_x_4.75_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	1.0	1.0	0.156	4  3/4 	4.75	0.375	0.369	0.562	0.547	0.25	0.229	0.314	0.284	0.094	0.081	0.142	0.112	0.031	0.016	St	ASME B18.6.2	1998
ASME_B18.6.2_SCREW_3/8_x_5_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP	ASME_B18_6_2_3/8_x_5_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP_SCREW	3/8	0.375	16	0.0625	1.0	1.0	0.156	5      	5.0	0.375	0.369	0.562	0.547	0.25	0.229	0.314	0.284	0.094	0.081	0.142	0.112	0.031	0.016	St	ASME B18.6.2	1998
ASME_B18.6.2_SCREW_7/16_x_0.375_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP	ASME_B18_6_2_7/16_x_0.375_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP_SCREW	7/16	0.438	14	0.0714	0.196	1.125	0.179	  3/8 	0.375	0.438	0.431	0.625	0.608	0.297	0.274	0.368	0.336	0.094	0.081	0.168	0.133	0.047	0.016	St	ASME B18.6.2	1998
ASME_B18.6.2_SCREW_7/16_x_0.5_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP	ASME_B18_6_2_7/16_x_0.5_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP_SCREW	7/16	0.438	14	0.0714	0.321	1.125	0.179	  1/2 	0.5	0.438	0.431	0.625	0.608	0.297	0.274	0.368	0.336	0.094	0.081	0.168	0.133	0.047	0.016	St	ASME B18.6.2	1998
ASME_B18.6.2_SCREW_7/16_x_0.625_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP	ASME_B18_6_2_7/16_x_0.625_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP_SCREW	7/16	0.438	14	0.0714	0.446	1.125	0.179	  5/8 	0.625	0.438	0.431	0.625	0.608	0.297	0.274	0.368	0.336	0.094	0.081	0.168	0.133	0.047	0.016	St	ASME B18.6.2	1998
ASME_B18.6.2_SCREW_7/16_x_0.75_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP	ASME_B18_6_2_7/16_x_0.75_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP_SCREW	7/16	0.438	14	0.0714	0.571	1.125	0.179	  3/4 	0.75	0.438	0.431	0.625	0.608	0.297	0.274	0.368	0.336	0.094	0.081	0.168	0.133	0.047	0.016	St	ASME B18.6.2	1998
ASME_B18.6.2_SCREW_7/16_x_0.875_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP	ASME_B18_6_2_7/16_x_0.875_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP_SCREW	7/16	0.438	14	0.0714	0.696	1.125	0.179	  7/8 	0.875	0.438	0.431	0.625	0.608	0.297	0.274	0.368	0.336	0.094	0.081	0.168	0.133	0.047	0.016	St	ASME B18.6.2	1998
ASME_B18.6.2_SCREW_7/16_x_1_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP	ASME_B18_6_2_7/16_x_1_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP_SCREW	7/16	0.438	14	0.0714	0.821	1.125	0.179	1      	1.0	0.438	0.431	0.625	0.608	0.297	0.274	0.368	0.336	0.094	0.081	0.168	0.133	0.047	0.016	St	ASME B18.6.2	1998
ASME_B18.6.2_SCREW_7/16_x_1.125_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP	ASME_B18_6_2_7/16_x_1.125_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP_SCREW	7/16	0.438	14	0.0714	0.946	1.125	0.179	1  1/8 	1.125	0.438	0.431	0.625	0.608	0.297	0.274	0.368	0.336	0.094	0.081	0.168	0.133	0.047	0.016	St	ASME B18.6.2	1998
ASME_B18.6.2_SCREW_7/16_x_1.25_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP	ASME_B18_6_2_7/16_x_1.25_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP_SCREW	7/16	0.438	14	0.0714	1.071	1.125	0.179	1  1/4 	1.25	0.438	0.431	0.625	0.608	0.297	0.274	0.368	0.336	0.094	0.081	0.168	0.133	0.047	0.016	St	ASME B18.6.2	1998
ASME_B18.6.2_SCREW_7/16_x_1.375_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP	ASME_B18_6_2_7/16_x_1.375_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP_SCREW	7/16	0.438	14	0.0714	1.125	1.125	0.179	1  3/8 	1.375	0.438	0.431	0.625	0.608	0.297	0.274	0.368	0.336	0.094	0.081	0.168	0.133	0.047	0.016	St	ASME B18.6.2	1998
ASME_B18.6.2_SCREW_7/16_x_1.5_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP	ASME_B18_6_2_7/16_x_1.5_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP_SCREW	7/16	0.438	14	0.0714	1.125	1.125	0.179	1  1/2 	1.5	0.438	0.431	0.625	0.608	0.297	0.274	0.368	0.336	0.094	0.081	0.168	0.133	0.047	0.016	St	ASME B18.6.2	1998
ASME_B18.6.2_SCREW_7/16_x_1.75_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP	ASME_B18_6_2_7/16_x_1.75_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP_SCREW	7/16	0.438	14	0.0714	1.125	1.125	0.179	1  3/4 	1.75	0.438	0.431	0.625	0.608	0.297	0.274	0.368	0.336	0.094	0.081	0.168	0.133	0.047	0.016	St	ASME B18.6.2	1998
ASME_B18.6.2_SCREW_7/16_x_2_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP	ASME_B18_6_2_7/16_x_2_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP_SCREW	7/16	0.438	14	0.0714	1.125	1.125	0.179	2      	2.0	0.438	0.431	0.625	0.608	0.297	0.274	0.368	0.336	0.094	0.081	0.168	0.133	0.047	0.016	St	ASME B18.6.2	1998
ASME_B18.6.2_SCREW_7/16_x_2.25_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP	ASME_B18_6_2_7/16_x_2.25_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP_SCREW	7/16	0.438	14	0.0714	1.125	1.125	0.179	2  1/4 	2.25	0.438	0.431	0.625	0.608	0.297	0.274	0.368	0.336	0.094	0.081	0.168	0.133	0.047	0.016	St	ASME B18.6.2	1998
ASME_B18.6.2_SCREW_7/16_x_2.75_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP	ASME_B18_6_2_7/16_x_2.75_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP_SCREW	7/16	0.438	14	0.0714	1.125	1.125	0.179	2  3/4 	2.75	0.438	0.431	0.625	0.608	0.297	0.274	0.368	0.336	0.094	0.081	0.168	0.133	0.047	0.016	St	ASME B18.6.2	1998
ASME_B18.6.2_SCREW_7/16_x_3_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP	ASME_B18_6_2_7/16_x_3_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP_SCREW	7/16	0.438	14	0.0714	1.125	1.125	0.179	3      	3.0	0.438	0.431	0.625	0.608	0.297	0.274	0.368	0.336	0.094	0.081	0.168	0.133	0.047	0.016	St	ASME B18.6.2	1998
ASME_B18.6.2_SCREW_7/16_x_3.25_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP	ASME_B18_6_2_7/16_x_3.25_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP_SCREW	7/16	0.438	14	0.0714	1.125	1.125	0.179	3  1/4 	3.25	0.438	0.431	0.625	0.608	0.297	0.274	0.368	0.336	0.094	0.081	0.168	0.133	0.047	0.016	St	ASME B18.6.2	1998
ASME_B18.6.2_SCREW_7/16_x_3.5_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP	ASME_B18_6_2_7/16_x_3.5_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP_SCREW	7/16	0.438	14	0.0714	1.125	1.125	0.179	3  1/2 	3.5	0.438	0.431	0.625	0.608	0.297	0.274	0.368	0.336	0.094	0.081	0.168	0.133	0.047	0.016	St	ASME B18.6.2	1998
ASME_B18.6.2_SCREW_7/16_x_3.75_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP	ASME_B18_6_2_7/16_x_3.75_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP_SCREW	7/16	0.438	14	0.0714	1.125	1.125	0.179	3  3/4 	3.75	0.438	0.431	0.625	0.608	0.297	0.274	0.368	0.336	0.094	0.081	0.168	0.133	0.047	0.016	St	ASME B18.6.2	1998
ASME_B18.6.2_SCREW_7/16_x_4_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP	ASME_B18_6_2_7/16_x_4_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP_SCREW	7/16	0.438	14	0.0714	1.125	1.125	0.179	4      	4.0	0.438	0.431	0.625	0.608	0.297	0.274	0.368	0.336	0.094	0.081	0.168	0.133	0.047	0.016	St	ASME B18.6.2	1998
ASME_B18.6.2_SCREW_7/16_x_4.25_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP	ASME_B18_6_2_7/16_x_4.25_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP_SCREW	7/16	0.438	14	0.0714	1.125	1.125	0.179	4  1/4 	4.25	0.438	0.431	0.625	0.608	0.297	0.274	0.368	0.336	0.094	0.081	0.168	0.133	0.047	0.016	St	ASME B18.6.2	1998
ASME_B18.6.2_SCREW_7/16_x_4.5_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP	ASME_B18_6_2_7/16_x_4.5_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP_SCREW	7/16	0.438	14	0.0714	1.125	1.125	0.179	4  1/2 	4.5	0.438	0.431	0.625	0.608	0.297	0.274	0.368	0.336	0.094	0.081	0.168	0.133	0.047	0.016	St	ASME B18.6.2	1998
ASME_B18.6.2_SCREW_7/16_x_4.75_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP	ASME_B18_6_2_7/16_x_4.75_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP_SCREW	7/16	0.438	14	0.0714	1.125	1.125	0.179	4  3/4 	4.75	0.438	0.431	0.625	0.608	0.297	0.274	0.368	0.336	0.094	0.081	0.168	0.133	0.047	0.016	St	ASME B18.6.2	1998
ASME_B18.6.2_SCREW_7/16_x_5_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP	ASME_B18_6_2_7/16_x_5_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP_SCREW	7/16	0.438	14	0.0714	1.125	1.125	0.179	5      	5.0	0.438	0.431	0.625	0.608	0.297	0.274	0.368	0.336	0.094	0.081	0.168	0.133	0.047	0.016	St	ASME B18.6.2	1998
ASME_B18.6.2_SCREW_7/16_x_5.5_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP	ASME_B18_6_2_7/16_x_5.5_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP_SCREW	7/16	0.438	14	0.0714	1.125	1.125	0.179	5  1/2 	5.5	0.438	0.431	0.625	0.608	0.297	0.274	0.368	0.336	0.094	0.081	0.168	0.133	0.047	0.016	St	ASME B18.6.2	1998
ASME_B18.6.2_SCREW_7/16_x_6_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP	ASME_B18_6_2_7/16_x_6_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP_SCREW	7/16	0.438	14	0.0714	1.125	1.125	0.179	6      	6.0	0.438	0.431	0.625	0.608	0.297	0.274	0.368	0.336	0.094	0.081	0.168	0.133	0.047	0.016	St	ASME B18.6.2	1998
ASME_B18.6.2_SCREW_1/2_x_0.5_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP	ASME_B18_6_2_1/2_x_0.5_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP_SCREW	1/2	0.5	13	0.0769	0.308	1.25	0.192	  1/2 	0.5	0.5	0.493	0.75	0.731	0.328	0.301	0.413	0.376	0.106	0.091	0.193	0.153	0.047	0.016	St	ASME B18.6.2	1998
ASME_B18.6.2_SCREW_1/2_x_0.625_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP	ASME_B18_6_2_1/2_x_0.625_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP_SCREW	1/2	0.5	13	0.0769	0.433	1.25	0.192	  5/8 	0.625	0.5	0.493	0.75	0.731	0.328	0.301	0.413	0.376	0.106	0.091	0.193	0.153	0.047	0.016	St	ASME B18.6.2	1998
ASME_B18.6.2_SCREW_1/2_x_0.75_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP	ASME_B18_6_2_1/2_x_0.75_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP_SCREW	1/2	0.5	13	0.0769	0.558	1.25	0.192	  3/4 	0.75	0.5	0.493	0.75	0.731	0.328	0.301	0.413	0.376	0.106	0.091	0.193	0.153	0.047	0.016	St	ASME B18.6.2	1998
ASME_B18.6.2_SCREW_1/2_x_0.875_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP	ASME_B18_6_2_1/2_x_0.875_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP_SCREW	1/2	0.5	13	0.0769	0.683	1.25	0.192	  7/8 	0.875	0.5	0.493	0.75	0.731	0.328	0.301	0.413	0.376	0.106	0.091	0.193	0.153	0.047	0.016	St	ASME B18.6.2	1998
ASME_B18.6.2_SCREW_1/2_x_1_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP	ASME_B18_6_2_1/2_x_1_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP_SCREW	1/2	0.5	13	0.0769	0.808	1.25	0.192	1      	1.0	0.5	0.493	0.75	0.731	0.328	0.301	0.413	0.376	0.106	0.091	0.193	0.153	0.047	0.016	St	ASME B18.6.2	1998
ASME_B18.6.2_SCREW_1/2_x_1.125_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP	ASME_B18_6_2_1/2_x_1.125_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP_SCREW	1/2	0.5	13	0.0769	0.933	1.25	0.192	1  1/8 	1.125	0.5	0.493	0.75	0.731	0.328	0.301	0.413	0.376	0.106	0.091	0.193	0.153	0.047	0.016	St	ASME B18.6.2	1998
ASME_B18.6.2_SCREW_1/2_x_1.25_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP	ASME_B18_6_2_1/2_x_1.25_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP_SCREW	1/2	0.5	13	0.0769	1.058	1.25	0.192	1  1/4 	1.25	0.5	0.493	0.75	0.731	0.328	0.301	0.413	0.376	0.106	0.091	0.193	0.153	0.047	0.016	St	ASME B18.6.2	1998
ASME_B18.6.2_SCREW_1/2_x_1.375_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP	ASME_B18_6_2_1/2_x_1.375_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP_SCREW	1/2	0.5	13	0.0769	1.183	1.25	0.192	1  3/8 	1.375	0.5	0.493	0.75	0.731	0.328	0.301	0.413	0.376	0.106	0.091	0.193	0.153	0.047	0.016	St	ASME B18.6.2	1998
ASME_B18.6.2_SCREW_1/2_x_1.5_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP	ASME_B18_6_2_1/2_x_1.5_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP_SCREW	1/2	0.5	13	0.0769	1.25	1.25	0.192	1  1/2 	1.5	0.5	0.493	0.75	0.731	0.328	0.301	0.413	0.376	0.106	0.091	0.193	0.153	0.047	0.016	St	ASME B18.6.2	1998
ASME_B18.6.2_SCREW_1/2_x_1.75_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP	ASME_B18_6_2_1/2_x_1.75_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP_SCREW	1/2	0.5	13	0.0769	1.25	1.25	0.192	1  3/4 	1.75	0.5	0.493	0.75	0.731	0.328	0.301	0.413	0.376	0.106	0.091	0.193	0.153	0.047	0.016	St	ASME B18.6.2	1998
ASME_B18.6.2_SCREW_1/2_x_2_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP	ASME_B18_6_2_1/2_x_2_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP_SCREW	1/2	0.5	13	0.0769	1.25	1.25	0.192	2      	2.0	0.5	0.493	0.75	0.731	0.328	0.301	0.413	0.376	0.106	0.091	0.193	0.153	0.047	0.016	St	ASME B18.6.2	1998
ASME_B18.6.2_SCREW_1/2_x_2.25_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP	ASME_B18_6_2_1/2_x_2.25_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP_SCREW	1/2	0.5	13	0.0769	1.25	1.25	0.192	2  1/4 	2.25	0.5	0.493	0.75	0.731	0.328	0.301	0.413	0.376	0.106	0.091	0.193	0.153	0.047	0.016	St	ASME B18.6.2	1998
ASME_B18.6.2_SCREW_1/2_x_2.75_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP	ASME_B18_6_2_1/2_x_2.75_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP_SCREW	1/2	0.5	13	0.0769	1.25	1.25	0.192	2  3/4 	2.75	0.5	0.493	0.75	0.731	0.328	0.301	0.413	0.376	0.106	0.091	0.193	0.153	0.047	0.016	St	ASME B18.6.2	1998
ASME_B18.6.2_SCREW_1/2_x_3_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP	ASME_B18_6_2_1/2_x_3_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP_SCREW	1/2	0.5	13	0.0769	1.25	1.25	0.192	3      	3.0	0.5	0.493	0.75	0.731	0.328	0.301	0.413	0.376	0.106	0.091	0.193	0.153	0.047	0.016	St	ASME B18.6.2	1998
ASME_B18.6.2_SCREW_1/2_x_3.25_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP	ASME_B18_6_2_1/2_x_3.25_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP_SCREW	1/2	0.5	13	0.0769	1.25	1.25	0.192	3  1/4 	3.25	0.5	0.493	0.75	0.731	0.328	0.301	0.413	0.376	0.106	0.091	0.193	0.153	0.047	0.016	St	ASME B18.6.2	1998
ASME_B18.6.2_SCREW_1/2_x_3.5_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP	ASME_B18_6_2_1/2_x_3.5_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP_SCREW	1/2	0.5	13	0.0769	1.25	1.25	0.192	3  1/2 	3.5	0.5	0.493	0.75	0.731	0.328	0.301	0.413	0.376	0.106	0.091	0.193	0.153	0.047	0.016	St	ASME B18.6.2	1998
ASME_B18.6.2_SCREW_1/2_x_3.75_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP	ASME_B18_6_2_1/2_x_3.75_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP_SCREW	1/2	0.5	13	0.0769	1.25	1.25	0.192	3  3/4 	3.75	0.5	0.493	0.75	0.731	0.328	0.301	0.413	0.376	0.106	0.091	0.193	0.153	0.047	0.016	St	ASME B18.6.2	1998
ASME_B18.6.2_SCREW_1/2_x_4_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP	ASME_B18_6_2_1/2_x_4_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP_SCREW	1/2	0.5	13	0.0769	1.25	1.25	0.192	4      	4.0	0.5	0.493	0.75	0.731	0.328	0.301	0.413	0.376	0.106	0.091	0.193	0.153	0.047	0.016	St	ASME B18.6.2	1998
ASME_B18.6.2_SCREW_1/2_x_4.25_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP	ASME_B18_6_2_1/2_x_4.25_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP_SCREW	1/2	0.5	13	0.0769	1.25	1.25	0.192	4  1/4 	4.25	0.5	0.493	0.75	0.731	0.328	0.301	0.413	0.376	0.106	0.091	0.193	0.153	0.047	0.016	St	ASME B18.6.2	1998
ASME_B18.6.2_SCREW_1/2_x_4.5_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP	ASME_B18_6_2_1/2_x_4.5_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP_SCREW	1/2	0.5	13	0.0769	1.25	1.25	0.192	4  1/2 	4.5	0.5	0.493	0.75	0.731	0.328	0.301	0.413	0.376	0.106	0.091	0.193	0.153	0.047	0.016	St	ASME B18.6.2	1998
ASME_B18.6.2_SCREW_1/2_x_4.75_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP	ASME_B18_6_2_1/2_x_4.75_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP_SCREW	1/2	0.5	13	0.0769	1.25	1.25	0.192	4  3/4 	4.75	0.5	0.493	0.75	0.731	0.328	0.301	0.413	0.376	0.106	0.091	0.193	0.153	0.047	0.016	St	ASME B18.6.2	1998
ASME_B18.6.2_SCREW_1/2_x_5_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP	ASME_B18_6_2_1/2_x_5_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP_SCREW	1/2	0.5	13	0.0769	1.25	1.25	0.192	5      	5.0	0.5	0.493	0.75	0.731	0.328	0.301	0.413	0.376	0.106	0.091	0.193	0.153	0.047	0.016	St	ASME B18.6.2	1998
ASME_B18.6.2_SCREW_1/2_x_5.5_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP	ASME_B18_6_2_1/2_x_5.5_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP_SCREW	1/2	0.5	13	0.0769	1.25	1.25	0.192	5  1/2 	5.5	0.5	0.493	0.75	0.731	0.328	0.301	0.413	0.376	0.106	0.091	0.193	0.153	0.047	0.016	St	ASME B18.6.2	1998
ASME_B18.6.2_SCREW_1/2_x_6_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP	ASME_B18_6_2_1/2_x_6_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP_SCREW	1/2	0.5	13	0.0769	1.25	1.25	0.192	6      	6.0	0.5	0.493	0.75	0.731	0.328	0.301	0.413	0.376	0.106	0.091	0.193	0.153	0.047	0.016	St	ASME B18.6.2	1998
ASME_B18.6.2_SCREW_1/2_x_6.5_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP	ASME_B18_6_2_1/2_x_6.5_UNC_STEEL_SLOTTED_FILLISTER_HEAD_CAP_SCREW	1/2	0.5	13	0.0769	1.25	1.25	0.192	6  1/2 	6.5	0.5	0.493	0.75	0.731	0.328	0.301	0.413	0.376	0.106	0.091	0.193	0.153	0.047	0.016	St	ASME B18.6.2	1998
